attribute_name,predicted,true,count
TYPE,STRAP-ON,STRAP-ON,40
TYPE,DIN MOUNT,SINGLE HUB,1
TYPE,DIN MOUNT,DUAL HUB,1
TYPE,POLYCARBONATE,SOLID PANEL,3
TYPE,SOLID PANEL,SOLID PANEL,35
TYPE,FOOT MOUNTS,SINGLE HUB,12
TYPE,,3-WAY [AIR],2
TYPE,ELECTRO-MECHANICAL,ELECTRO-MECHANICAL,5
TYPE,SOLID STATE,ELECTRO-MECHANICAL,15
TYPE,FOOT MOUNTS,DUAL HUB,5
TYPE,INSULATED,RECTANGULAR,42
TYPE,INSULATED,ROUND,9
TYPE,INSULATED,OVAL,1
TYPE,2 POSITION,2 POSITION,9
TYPE,3 POSITION,3 POSITION,38
TYPE,HINGED COVER W/ LOCK,HINGED COVER W/ LOCK,67
TYPE,ACCESSORY,PLASTIC/LEXAN,1
TYPE,CRIMPING TOOL,ACCESSORY,1
TYPE,SUBMERSIBLE,FLEXIBLE,267
TYPE,SECURITY/HVAC,TRANE,1
TYPE,SECURITY/HVAC,SECURITY/HVAC,2
TYPE,HINGED COVER W/ LOCK W/ WINDOW,HINGED COVER W/ LOCK W/ WINDOW,9
TYPE,TERMINAL BLOCK,TERMINAL BLOCK,10
TYPE,NO LAMP,LED,7
TYPE,HINGED COVER,HINGED COVER,292
TYPE,OCCUPANCY SENSOR,PIR,8
TYPE,OCCUPANCY SENSOR,DUAL TECHNOLOGY,4
TYPE,TERMINAL BLOCK,FUSE HOLDER,2
TYPE,TERMINAL BLOCK,IEC,1
TYPE,Thermal Device Circuit Breakers,MINIATURE CIRCUIT BREAKER,10
TYPE,,SLAVE POWER PACK,1
TYPE,FOOT MOUNTS,FOOT MOUNTS,1
TYPE,OM3,CAUTION TAG,1
TYPE,HINGED COVER W/ LOCK W/ WINDOW,BATTERY CABINET,1
TYPE,,TERMINAL CABINET,1
TYPE,POLYCARBONATE,SMOKE DETECTOR GUARD,1
TYPE,CRIMPING TOOL,BOX BRACKET,1
TYPE,SUBMERSIBLE,DUCT,2
TYPE,DELTA,TRANE,3
TYPE,SWITCH,SWITCH,1
TYPE,FREE-STANDING SINGLE DOOR DUAL ACCESS,READER,1
TYPE,PS CARD,PS CARD,1
