pt_id,pt_name,n_samples,top1_accuracy,top3_accuracy,ece,brier
1,Ball 2-Way w/  Electric Actuator,33784,0.6153800615676059,0.921412502959981,0.44096247717844134,0.43194708573003165
388,Pressure Independent Valves & Actuators,19520,0.5288934426229508,0.7709016393442623,0.3426010599670109,0.3684594915763652
55,Ball 3-Way w/  Electric Actuator,17147,0.64017029217939,0.887560506210999,0.43713141640894193,0.42392699569764913
902,KW/ KWH Energy/Power Meters - Honeywell,7596,0.8891521853607162,0.9927593470247499,0.6850419109388326,0.5805072669542841
13,Globe 2 Way w/  Electric Actuator,5629,0.6823592112275715,0.9703322082074969,0.4944737138939512,0.4620729925955568
53,Butterfly 2 Way w/  Electric Actuator,5494,0.5467783036039315,0.8747724790680743,0.3657804594966146,0.3804976971058456
899,Multi-Function Room Air Quality Sensors,5321,0.8449539560233039,0.9921067468520954,0.6430521425292367,0.5497545405415852
579,Variable Speed Drives,4511,0.5242739968964752,0.8040345821325648,0.3564129442972526,0.40427820920703555
58,Butterfly 3 Way w/  Electric Actuator,3752,0.4517590618336887,0.875,0.2644530290803151,0.32563826895605996
790,Venturi Valves,2934,0.9662576687116564,0.9996591683708248,0.6845790887711241,0.4969440971014632
14,Globe 3 Way w/  Electric Actuator,2426,0.4525968672712284,0.8891178895300906,0.26629845531045016,0.3192494479257455
772,Induction Motors,2270,0.7524229074889868,0.9374449339207048,0.4886995034894706,0.4255001398163051
140,Duct Averaging Sensors,2054,0.6888997078870497,0.9464459591041869,0.46880245441264223,0.4284891282833183
29,Duct Sensors,1786,0.0005599104143337066,0.3314669652855543,0.10292645149172296,0.01186221889996486
286,NEMA 4,1618,0.6860321384425216,0.8498145859085291,0.44998934753881137,0.38810508648120634
42,Zone 2 Way w/  Electric Actuator,1604,0.5692019950124688,0.7593516209476309,0.3813809226930096,0.3901390526467984
28,Room Sensors,1549,0.6520335700451905,0.7876049063912202,0.432059751937215,0.40699552510612363
714,NEMA 4X/Metallic,1480,0.6932432432432433,0.772972972972973,0.4496577964556566,0.3881804655539066
50,Globe 2 Way w/  Pneumatic Actuator,1435,0.9128919860627178,0.9797909407665505,0.6665259422096818,0.5160855155235106
216,Electric Actuators,1377,0.4335511982570806,0.7233115468409586,0.2560688507809315,0.31901935533620096
227,Pushbuttons,1102,0.003629764065335753,0.37749546279491836,0.11435891353057755,0.017128662949718668
37,Differential Pressure Transmitters,1038,0.5394990366088632,0.8198458574181118,0.30589191556793827,0.33938030039524597
229,Selector Switches,964,0.9346473029045643,0.9896265560165975,0.6766331079298865,0.5154793080474326
645,Network & Patch Cables,840,0.780952380952381,0.9154761904761904,0.5629561953209147,0.4885263719093994
152,Remote Probes,839,0.010727056019070322,0.3778307508939213,0.08328710521668695,0.019535081729924957
45,Ball Valves,719,0.7454798331015299,0.8511821974965229,0.520536518819497,0.45867649849087866
96,NEMA 1,650,0.583076923076923,0.6584615384615384,0.33791042289477075,0.34144714414479477
30,Immersion Sensors,650,0.5169230769230769,0.7892307692307692,0.28118539859007696,0.3297760004604418
61,Zone 3 Way w/  Electric Actuator,608,0.7976973684210527,0.9819078947368421,0.6091782412556292,0.5310747865149382
335,Combination Humidity/ Temp Duct,477,0.14675052410901468,0.45073375262054505,0.2378734867182616,0.1587903945424862
12,Globe 3 Way w/  Pneumatic Actuator,447,0.7427293064876958,0.9105145413870246,0.5216281234853973,0.4637054036498324
905,NSF Ball Valves,437,0.7276887871853547,0.9473684210526315,0.5194989128891828,0.4647312141531508
337,Combination Humidity/ Temp Room,399,0.010025062656641603,0.2932330827067669,0.09176357345980314,0.01785210457530089
159,NEMA 3R,398,0.8090452261306532,0.864321608040201,0.5623120098587895,0.47051808807689416
