product_id,description,true_type,predicted_type,confidence,true_in_shortlist,correct,n_candidates,prompt_tokens,completion_tokens
22812,2 Pole Fuse Holder | 18-10 AWG | 600 Max Voltage | 30 Amp Max Current | 1 Piece,Terminal Blocks,Circuit Breakers/ Fuses,1.0,True,False,12,293,26
10300,Thermostat Cover | Adjustable Set Point Key [0.5 inch] | Exposed Indicator | Concealed Thermometer | Plastic | Desert Beige | Use w/ Model # Siemens 192GC/193HC,Pneumatic Thermostat Covers,Thermostat Guards/Protective Enclosures,1.0,True,False,12,310,28
8723,General Purpose Relay | Blade | 4PDT | 10A | 120 VAC | Indicator | cURus/CE Listed,General Purpose Relays,General Purpose Relays,1.0,True,True,12,291,23
25018,Red ABS Plastic Cover with 18 Gauge Corrosion Resistant Steel Back Box | 3.13 inch W x 5.13 inch H x 2.5 inch D,Accessories - Relays,Pneumatic Thermostat Covers,1.0,True,False,12,311,25
15141,2 Position Selector Switch - 1 NO Contact (OX) - Key - IP65 Rating - 22 mm Size - Spring Return From Left Control Action,Selector Switches,Selector Switches,1.0,True,True,12,296,22
15078,Pushbutton | 22 mm | Momentary | Illuminated - Available Voltages - 6 VAC/VDC 12 VAC/VDC 24 VAC/VDC 120 VAC 240 VAC (Full Voltage) | Square - Extended | Availab,Pushbuttons,Pushbuttons,1.0,True,True,12,338,21
14287,"Pan-Ty Locking Tie | Intermediate Cross Section | 5.6"" Length | Weather Resistant Nylon | Black | 1000/pack",Cable Ties,Cable Ties,1.0,True,True,12,286,23
11776,Wall Mounted Self Acting Thermostatic Actuator Liquid Filled | Temperature Range 5-30ºC/40-85ºF or 20-70ºC/60-185ºF,Thermostatic Actuators,Thermostatic Actuators,1.0,True,True,12,324,26
25003,SPDT Multi Voltage Relay | 24 VAC/VDC or 120/230 VAC – 10 Amp | 1 Form C Contact | Red LED Indicator | Track Mounted w/ 3.5 inch Snap Track Inclued | 82 mm H x ,Track Mounted Relays,General Purpose Relays,0.8,True,False,12,326,23
10096,"Analog To Pneumatic | 14 SCIM Bleed | Gauge | Analog Input (0-5VDC) | Pressure Output (0-15PSI) | Single Valve | 0.005"" Bleed Orifice | 0-10V, 0-15V, 0-20mA Sel",Analog To Pneumatic,Analog To Pneumatic,1.0,True,True,12,342,25
24263,Analog/Digital Input To Analog Output Device | Accepts Up to 6 Digital Inputs & Outputs A Proportional Analog Signal | Jumper Selectable Input Ranges | 24 VAC |,Analog To Analog,General Purpose Relays,0.8,False,False,12,316,23
25016,Power Relay | Heavy Duty | DPDT | 30A | 120 VAC | Enclosure Mounted | Red,Power Relays,Power Relays,1.0,True,True,12,285,22
30257,Weather Shield for Characterized Control Valves with AF / LF Actuators,Accessories - Valves,Accessories - Valves,0.9,True,True,12,297,24
20426,"1/4"" Flame Retardant Pneumatic Control Tubing | Plenum Rated | Stress Crack Resistance | Black With Red Stripe | UL Listed | 4 x 250 ft. Coils",Pneumatic Tubing,Pneumatic Tubing,1.0,True,True,12,312,24
10030,"Floating Point To Pneumatic | With Feedback | 41 scim Bleed | Gauge | Pressure Output (0-15PSI) | Single Valve, 0.007"" Bleed Orifice (90, 60, 120 sec) (0-15PSI/",Floating Point To Pneumatic,Floating Point To Pneumatic,1.0,True,True,12,339,25
22051,Outside Air Pressure Pickup Port | Conduit & Tubing Not Included,Accessories - Pressure,Pitot Tubes & Pressure Probes,1.0,True,False,12,288,27
