product_id,description,true_type,predicted_type,confidence,true_in_shortlist,correct,n_candidates,prompt_tokens,completion_tokens
22812,2 Pole Fuse Holder | 18-10 AWG | 600 Max Voltage | 30 Amp Max Current | 1 Piece,Terminal Blocks,Circuit Breakers/ Fuses,1.0,True,False,12,296,22
10300,Thermostat Cover | Adjustable Set Point Key [0.5 inch] | Exposed Indicator | Concealed Thermometer | Plastic | Desert Beige | Use w/ Model # Siemens 192GC/193HC,Pneumatic Thermostat Covers,Thermostat Guards/Protective Enclosures,1.0,True,False,12,312,24
8723,General Purpose Relay | Blade | 4PDT | 10A | 120 VAC | Indicator | cURus/CE Listed,General Purpose Relays,General Purpose Relays,1.0,True,True,12,292,19
25018,Red ABS Plastic Cover with 18 Gauge Corrosion Resistant Steel Back Box | 3.13 inch W x 5.13 inch H x 2.5 inch D,Accessories - Relays,Cabinets/ Enclosures,1.0,True,False,12,312,21
15141,2 Position Selector Switch - 1 NO Contact (OX) - Key - IP65 Rating - 22 mm Size - Spring Return From Left Control Action,Selector Switches,Selector Switches,1.0,True,True,12,296,18
15078,Pushbutton | 22 mm | Momentary | Illuminated - Available Voltages - 6 VAC/VDC 12 VAC/VDC 24 VAC/VDC 120 VAC 240 VAC (Full Voltage) | Square - Extended | Availab,Pushbuttons,Pushbuttons,1.0,True,True,12,344,17
14287,"Pan-Ty Locking Tie | Intermediate Cross Section | 5.6"" Length | Weather Resistant Nylon | Black | 1000/pack",Cable Ties,Cable Ties,1.0,True,True,12,286,19
11776,Wall Mounted Self Acting Thermostatic Actuator Liquid Filled | Temperature Range 5-30ºC/40-85ºF or 20-70ºC/60-185ºF,Thermostatic Actuators,Thermostatic Actuators,1.0,True,True,12,330,22
25003,SPDT Multi Voltage Relay | 24 VAC/VDC or 120/230 VAC – 10 Amp | 1 Form C Contact | Red LED Indicator | Track Mounted w/ 3.5 inch Snap Track Inclued | 82 mm H x ,Track Mounted Relays,Track Mounted Relays,1.0,True,True,12,333,19
10096,"Analog To Pneumatic | 14 SCIM Bleed | Gauge | Analog Input (0-5VDC) | Pressure Output (0-15PSI) | Single Valve | 0.005"" Bleed Orifice | 0-10V, 0-15V, 0-20mA Sel",Analog To Pneumatic,Analog To Pneumatic,1.0,True,True,12,347,21
24263,Analog/Digital Input To Analog Output Device | Accepts Up to 6 Digital Inputs & Outputs A Proportional Analog Signal | Jumper Selectable Input Ranges | 24 VAC |,Analog To Analog,Pre-Packaged Relays (RIB/ PAM/ MR/ CVR),0.8,False,False,12,315,31
25016,Power Relay | Heavy Duty | DPDT | 30A | 120 VAC | Enclosure Mounted | Red,Power Relays,Power Relays,1.0,True,True,12,286,18
30257,Weather Shield for Characterized Control Valves with AF / LF Actuators,Accessories - Valves,Accessories - Valves,0.8,True,True,12,295,20
20426,"1/4"" Flame Retardant Pneumatic Control Tubing | Plenum Rated | Stress Crack Resistance | Black With Red Stripe | UL Listed | 4 x 250 ft. Coils",Pneumatic Tubing,Pneumatic Tubing,1.0,True,True,12,312,20
10030,"Floating Point To Pneumatic | With Feedback | 41 scim Bleed | Gauge | Pressure Output (0-15PSI) | Single Valve, 0.007"" Bleed Orifice (90, 60, 120 sec) (0-15PSI/",Floating Point To Pneumatic,Floating Point To Pneumatic,1.0,True,True,12,347,21
22051,Outside Air Pressure Pickup Port | Conduit & Tubing Not Included,Accessories - Pressure,Pressure Gauges,0.8,True,False,12,286,18
18436,1 inch | Water & Steam | Linear Flow | Female NPT | Brass | 250 ANSI | Cv 11.6,Globe Valves,Accessories - Valves,1.0,True,False,12,287,20
8755,"8.88"" H x 8.75"" W | White Solid Steel Sub Panel | Fits A10106CH Panel",Subpanels,Subpanels,1.0,True,True,12,282,17
8751,"6.88"" H x 6.75"" W | Solid White Steel Sub Panel | Fits A808CH Panel",Subpanels,Subpanels,1.0,True,True,12,280,17
10043,PWM to Pneumatic Feedback | 41 scim Bleed,PWM To Pneumatic,PWM To Pneumatic,1.0,True,True,12,298,20
14276,Current Switch | Internal w/Contact Status | Operating Range .50-10 Amps | Fixed Threshold | Contact Output | Enclosed w/Relay | SPST | Override Switch | 10-30 ,Current Switches,Current Switches,1.0,True,True,12,311,18
15041,"Strap-On Temperature Sensor | 1K Platinum RTD w/Transmitter | 4 to 20 mA Output | Optional - BAPI-Box J-Box or BAPI-Box Crossover | Clamp-On Strap - Fits 2"" to ",Strap-On Sensors,Strap-On Sensors,1.0,True,True,12,331,19
19735,"Snap-In Bushing | For 1/2"" Knockout | Nylon",Fittings & Connectors,Fittings & Connectors,0.8,True,True,5,227,20
22136,"1/2"" 2-Way Pneumatic Flare Valve | CV 1.6 | 3-6# psi | SAE Flare | Normally Open | Brass",Accessories - Valves,Accessories - Valves,1.0,True,True,12,320,20
8728,Power Relay | Octal | DPDT | 10A | 120 VAC | Indicator | cURus/CE Listed,General Purpose Relays,Power Relays,1.0,True,False,12,291,18
20671,Pneumatic Damper Actuator | 8-13 # Spring Range with D-9502-5 Positioner | Swivel Mount Bracket | Clevis | Crank Arm,Pneumatic Actuators,Pneumatic Actuators,1.0,True,True,12,302,21
12414,"21.00"" H x 18.50"" W | NEMA 1 | White Solid Sub Panel",Subpanels,Subpanels,1.0,True,True,12,289,17
24592,"Single Point Polymer Coated Sensing Probe for Detecting Conductive Fluids | 2 10"" Male to Female Lead Cables | For Use With Seahawk Panels",Moisture Sensors,Sensing Cables,0.8,False,False,12,302,19
22848,Control Transformer | 85 VA | 120 VAC Input - 24 VAC Output | Single Threaded Hub & Foot Mounts | 9.5 Primary and Secondary Wires | UL 506 Listed/RoHS,Control Transformers,Control Transformers,1.0,True,True,12,316,17
24425,"27.00"" H x 21.00"" W | NEMA 12 | Solid White Steel Sub Panel",Subpanels,Subpanels,1.0,True,True,12,297,17
18430,1/2 inch | Water & Steam | Linear Flow Characteristic | Brass Material | Cv 4.6|,Globe Valves,Globe Valves,1.0,True,True,12,281,19
14280,Current Switch | External w/Contact Status | Operating Range 1.25-150 Amps | Fixed Threshold | Contact Output | Enclosed w/Relay | SPST | Override Switch | 10-3,Current Switches,Current Switches,1.0,True,True,12,314,18
18558,18/4 Stranded Control Cable | Plenum Rated | UL Type CMP | Not Shielded | Quantity 1 = 1000 ft | MUST SPECIFY JACKET COLOR & PACKAGING,Control Cables,Control Cables,1.0,True,True,12,307,18
21850,General Purpose Relay | Blade | 3PDT | 10A | 24 VAC | Indicator | Check Button | cURus/CE Listed,General Purpose Relays,General Purpose Relays,1.0,True,True,12,294,19
15147,2 Position Selector Switch - 2 NO Contact (OX -OX) - Lever - IP65 Rating - 22 mm Size - Spring Return From Left Control Action,Selector Switches,Selector Switches,1.0,True,True,12,298,18
27317,"Isolated Linear DC Power Supply | 120 VAC - 1.5-28 VDC 300 mA Adjustable | UL Listed | 4"" & 2.75"" Track Mountable | 2 Position Toggle On/Off",Power Supplies,Power Supplies,1.0,True,True,12,316,17
30108,Universal Crankarm for use With KG8 Ball Joint,Accessories - Dampers,Accessories - Pneumatic Controls,1.0,True,False,12,282,22
779,0.25 inch Foam Pad | Closed Cell | Adhesive Backed | QTY 1 = 100 Pieces,Accessories - Temperature,none_of_these,1.0,True,False,12,294,19
25241,One Case [12] 10 oz Cans of Standard Test Gas | With Test Port Nozzle | For SL-2000 Series Detectors,Test Equipment,none_of_these,1.0,False,False,12,298,19
27302,Power Supply | Enclosed | Input - 120 VAC | Output - 24 VAC | 10A Main Circuit Breaker | 24 VAC Circuit Breakers | Dual 100 VA | Internal Wires | Class 2 (UL Ap,Enclosed Transformers,Power Supplies,1.0,True,False,12,346,17
12168,"Pilot Control Relay | Enclosed | 10..30 VAC/VDC / 208..277 VAC | 10 A | SPDT | Override | 20 ms Operate Time | 16"" Wire Leads | LED | Hi/Low Separation | UL Lis",Pre-Packaged Relays (RIB/ PAM/ MR/ CVR),Power Relays,1.0,True,False,12,341,18
24417,Control Transformer | 50 VA | 120/208/240/480 VAC Input - 24 VAC Output | Dual Threaded Hub & Foot Mounts | 8 Primary and Secondary Wires | Circuit Breaker | UL,Control Transformers,Control Transformers,1.0,True,True,12,330,17
18437,1-1/4 inch | Water & Steam | Linear Flow | Female NPT | Brass | 250 ANSI | Cv 18.5,Globe Valves,Accessories - Valves,1.0,True,False,12,303,20
15836,T22 Series Line Voltage Thermostats with Manual Switch | Heat Control Type | 24-277 VAC Supply Voltage,Non-Configurable Non-Communicating Thermostats,Non-Configurable Non-Communicating Thermostats,1.0,True,True,12,297,26
12160,"Pilot Control Relay | Enclosed | 10..30 VAC/VDC / 208..277 VAC | 10 A | SPDT | 20 ms Operate Time | 16"" Wire Leads | LED | Hi/Low Separation | uL Listed UL916 U",Pre-Packaged Relays (RIB/ PAM/ MR/ CVR),Power Relays,1.0,True,False,12,340,18
14269,Current Switch | Internal w/Contact Status | Operating Range .50-10 Amps | Fixed Threshold | Contact Output | Enclosed w/Relay | SPDT | LED On - Activated | 10-,Current Switches,Current Switches,1.0,True,True,12,315,18
32948,2 inch Square Blue Illuminated Pushbutton with Timer | HANDICAPPED SYMBOL | SPDT 2 Amp Contacts | Additional SPDT 10 Amp Continuous Momentary Action Switch | 1/,Pushbuttons,Pushbuttons,1.0,True,True,12,324,17
26166,"Restrictor Tee | 1/4"" X 1/4"" X 1/8M | .007",Accessories - Pneumatic Controls,Fittings & Connectors,1.0,True,False,5,243,20
15828,"24.00"" H x 20.00"" W x 9.25"" D | Control Panel Enclosure | Stainless Steel | Lift-Off Hinges | Key Lock | Knockouts and Vent Louvers | ANSI 61 Gray Powder Coated",NEMA 1,Cabinets/ Enclosures,1.0,True,False,12,346,21
10041,"Analog To Pneumatic W/Feedback | 750 SCIM S/E | Gauge | Analog Input (0-5VDC) | Pressure Output (0-10PSI) | Dual Valve | Exhausts On Power Failure | 0-10V, 0-15",Analog To Pneumatic,Analog To Pneumatic,0.85,True,True,12,373,22
16362,T-5210 Pneumatic Temperature Transmitter | 8 ft Copper Averaging Element with 1 ft Copper Capillary | Direct Action | Operating Range 50-150 Deg F,Pneumatic Temp Transmitter,Pneumatic Temp Transmitter,1.0,True,True,12,314,21
10063,Pulse Width Input to Analog | Voltage or Current Output,PWM To Analog,PWM To Analog,1.0,True,True,12,274,18
